dataset_index,source_id,beat_index,group,target_count,pred_count,tp,fp,fn,precision,recall,f1,mean_abs_error_sec
11,drummer1/eval_session/1,56,hihat,6,8,5,3,1,0.625,0.8333333333333334,0.7142857142857143,0.021354171932419386
11,drummer1/eval_session/1,56,cymbal,8,8,6,2,2,0.75,0.75,0.75,0.009684063577552865
12,drummer1/eval_session/10,0,kick,3,13,3,10,0,0.23076923076923078,1.0,0.375,0.007538486303056274
12,drummer1/eval_session/10,0,snare,5,13,2,11,3,0.15384615384615385,0.4,0.2222222222222222,0.008906426543281165
12,drummer1/eval_session/10,0,tom,0,14,0,14,0,0.0,1.0,0.0,
12,drummer1/eval_session/10,0,hihat,8,7,6,1,2,0.8571428571428571,0.75,0.7999999999999999,0.012309177400303553
12,drummer1/eval_session/10,0,cymbal,0,7,0,7,0,0.0,1.0,0.0,
13,drummer1/eval_session/10,4,kick,3,13,3,10,0,0.23076923076923078,1.0,0.375,0.011212446877531576
13,drummer1/eval_session/10,4,snare,2,12,2,10,0,0.16666666666666666,1.0,0.2857142857142857,0.01009982784048502
13,drummer1/eval_session/10,4,tom,0,14,0,14,0,0.0,1.0,0.0,
13,drummer1/eval_session/10,4,hihat,8,9,8,1,0,0.8888888888888888,1.0,0.9411764705882353,0.012517069238586493
13,drummer1/eval_session/10,4,cymbal,0,9,0,9,0,0.0,1.0,0.0,
14,drummer1/eval_session/10,8,kick,3,13,3,10,0,0.23076923076923078,1.0,0.375,0.005325885524611371
14,drummer1/eval_session/10,8,snare,6,11,3,8,3,0.2727272727272727,0.5,0.3529411764705882,0.0042373605199771775
14,drummer1/eval_session/10,8,tom,0,14,0,14,0,0.0,1.0,0.0,
14,drummer1/eval_session/10,8,hihat,8,9,8,1,0,0.8888888888888888,1.0,0.9411764705882353,0.004418378696035683
14,drummer1/eval_session/10,8,cymbal,0,9,0,9,0,0.0,1.0,0.0,
15,drummer1/eval_session/10,12,kick,3,13,3,10,0,0.23076923076923078,1.0,0.375,0.006882885119857286
15,drummer1/eval_session/10,12,snare,4,12,3,9,1,0.25,0.75,0.375,0.004449013447274959
15,drummer1/eval_session/10,12,tom,0,16,0,16,0,0.0,1.0,0.0,
15,drummer1/eval_session/10,12,hihat,8,8,8,0,0,1.0,1.0,1.0,0.006283476501301991
15,drummer1/eval_session/10,12,cymbal,0,8,0,8,0,0.0,1.0,0.0,
16,drummer1/eval_session/10,16,kick,3,17,3,14,0,0.17647058823529413,1.0,0.3,0.006416246458840272
16,drummer1/eval_session/10,16,snare,4,14,4,10,0,0.2857142857142857,1.0,0.4444444444444445,0.005568324139599318
16,drummer1/eval_session/10,16,tom,0,13,0,13,0,0.0,1.0,0.0,
16,drummer1/eval_session/10,16,hihat,8,7,7,0,1,1.0,0.875,0.9333333333333333,0.010438489679924081
16,drummer1/eval_session/10,16,cymbal,0,8,0,8,0,0.0,1.0,0.0,
17,drummer1/eval_session/10,20,kick,3,16,3,13,0,0.1875,1.0,0.3157894736842105,0.0026108111475207033
17,drummer1/eval_session/10,20,snare,4,15,3,12,1,0.2,0.75,0.31578947368421056,0.012279736246021042
17,drummer1/eval_session/10,20,tom,0,17,0,17,0,0.0,1.0,0.0,
17,drummer1/eval_session/10,20,hihat,8,9,8,1,0,0.8888888888888888,1.0,0.9411764705882353,0.0057040786691846136
17,drummer1/eval_session/10,20,cymbal,0,9,0,9,0,0.0,1.0,0.0,
18,drummer1/eval_session/10,24,kick,4,13,4,9,0,0.3076923076923077,1.0,0.47058823529411764,0.01625175586299729
18,drummer1/eval_session/10,24,snare,4,10,2,8,2,0.2,0.5,0.28571428571428575,0.008684894279017197
18,drummer1/eval_session/10,24,tom,0,13,0,13,0,0.0,1.0,0.0,
18,drummer1/eval_session/10,24,hihat,8,9,8,1,0,0.8888888888888888,1.0,0.9411764705882353,0.0083277058336343
18,drummer1/eval_session/10,24,cymbal,0,8,0,8,0,0.0,1.0,0.0,
19,drummer1/eval_session/10,28,kick,2,13,2,11,0,0.15384615384615385,1.0,0.2666666666666667,0.010013730850349511
19,drummer1/eval_session/10,28,snare,3,12,3,9,0,0.25,1.0,0.4,0.00652914566968484
19,drummer1/eval_session/10,28,tom,0,17,0,17,0,0.0,1.0,0.0,
19,drummer1/eval_session/10,28,hihat,8,8,8,0,0,1.0,1.0,1.0,0.00792521913010041
19,drummer1/eval_session/10,28,cymbal,0,8,0,8,0,0.0,1.0,0.0,
20,drummer1/eval_session/10,32,kick,3,13,3,10,0,0.23076923076923078,1.0,0.375,0.00747246047725466
20,drummer1/eval_session/10,32,snare,4,13,3,10,1,0.23076923076923078,0.75,0.3529411764705882,0.011602478349920639
20,drummer1/eval_session/10,32,tom,0,15,0,15,0,0.0,1.0,0.0,
20,drummer1/eval_session/10,32,hihat,8,7,7,0,1,1.0,0.875,0.9333333333333333,0.010723087314961601
20,drummer1/eval_session/10,32,cymbal,0,7,0,7,0,0.0,1.0,0.0,
21,drummer1/eval_session/10,36,kick,3,14,3,11,0,0.21428571428571427,1.0,0.35294117647058826,0.010340917349785227
21,drummer1/eval_session/10,36,snare,5,16,3,13,2,0.1875,0.6,0.2857142857142857,0.008539397588572695
21,drummer1/eval_session/10,36,tom,0,14,0,14,0,0.0,1.0,0.0,
