suite,reference_id,comparison_id,comparison_label,metric,num_pairs,reference_mean,comparison_mean,delta_comparison_minus_reference,delta_ci_low,delta_ci_high,p_value,p_value_holm
inference,dac_ce:dac_25steps:none,dac_ce:dac_25steps:shuffle,Shuffled,audio_l1,1733,0.051157747862341375,0.06390151189101681,0.012743764028675419,0.011587923046443838,0.014188626354567782,0.0004997501249375312,0.0014992503748125937
inference,dac_ce:dac_25steps:none,dac_ce:dac_25steps:shuffle,Shuffled,proxy_macro_f1,1733,0.368470516687866,0.3194426786558965,-0.04904621516259569,-0.05257726867306724,-0.04557919286792936,,
inference,dac_ce:dac_25steps:none,dac_ce:dac_25steps:phase_shift,Half-window shift,mrstft_logmag_l1,1733,0.10394162063600264,0.17818292332797023,0.07424130269196755,0.07199141402243578,0.07651835850447221,0.0004997501249375312,0.0014992503748125937
inference,dac_ce:dac_25steps:none,dac_ce:dac_25steps:phase_shift,Half-window shift,audio_l1,1733,0.051157747862341375,0.06447000181613044,0.013312253953789054,0.012696258450089268,0.013985991822523417,0.0004997501249375312,0.0014992503748125937
inference,dac_ce:dac_25steps:none,dac_ce:dac_25steps:phase_shift,Half-window shift,proxy_macro_f1,1733,0.368470516687866,0.3289788264263075,-0.03949803399539115,-0.041749258191897475,-0.03724454783676612,,
training,direct:our_hybrid_multiscale,direct:no_conditioning_zero,No conditioning,mrstft_logmag_l1,1733,0.1358358987832234,0.3084097550015744,0.17257385621835095,0.16676826920420518,0.17894968795850744,0.0004997501249375312,0.0014992503748125937
training,direct:our_hybrid_multiscale,direct:no_conditioning_zero,No conditioning,audio_l1,1733,0.04509489849936352,0.0693496703678087,0.02425477186844518,0.023061741951077023,0.025355429277286165,0.0004997501249375312,0.0014992503748125937
training,direct:our_hybrid_multiscale,direct:no_conditioning_zero,No conditioning,proxy_macro_f1,1733,0.43601221428517933,0.34817516707666823,-0.08785670791775144,-0.09162153393037378,-0.08405128419772627,,
training,direct:our_hybrid_multiscale,direct:naive_r0_linear,"Linear, radius 0",mrstft_logmag_l1,1733,0.1358358987832234,0.147972792644963,0.012136893861739538,0.010946810566559564,0.013344746626606152,0.0004997501249375312,0.0014992503748125937
training,direct:our_hybrid_multiscale,direct:naive_r0_linear,"Linear, radius 0",audio_l1,1733,0.04509489849936352,0.04827405328218016,0.003179154782816639,0.0026507002945190808,0.0038891731893866215,0.0004997501249375312,0.0014992503748125937
training,direct:our_hybrid_multiscale,direct:naive_r0_linear,"Linear, radius 0",proxy_macro_f1,1733,0.43601221428517933,0.43793207213554386,0.0019342028494682458,-0.0002936477463297504,0.004142838556742504,,
training,direct:our_hybrid_multiscale,direct:naive_r22_linear,"Linear, radius 22",mrstft_logmag_l1,1733,0.1358358987832234,0.1382691354630004,0.0024332366797769956,0.0015973436957858272,0.003309189370391054,0.0004997501249375312,0.0014992503748125937
training,direct:our_hybrid_multiscale,direct:naive_r22_linear,"Linear, radius 22",audio_l1,1733,0.04509489849936352,0.04586339546813568,0.0007684969687721531,0.0005006519428804185,0.0010345083454342237,0.0004997501249375312,0.0014992503748125937
training,direct:our_hybrid_multiscale,direct:naive_r22_linear,"Linear, radius 22",proxy_macro_f1,1733,0.43601221428517933,0.4420654697075189,0.006060477820110243,0.0044569954236119095,0.0076779561837665294,,
training,dac25:our_hybrid_multiscale_25steps,dac25:no_conditioning_zero_25steps,No conditioning,mrstft_logmag_l1,1733,0.10671287411324079,0.27203314411316865,0.16532026999992783,0.1611137437282976,0.16979093620923347,0.0004997501249375312,0.0004997501249375312
training,dac25:our_hybrid_multiscale_25steps,dac25:no_conditioning_zero_25steps,No conditioning,audio_l1,1733,0.053098659461016946,0.06938013657110653,0.016281477110089593,0.015094950817704343,0.01736489438724022,0.0004997501249375312,0.0004997501249375312
training,dac25:our_hybrid_multiscale_25steps,dac25:no_conditioning_zero_25steps,No conditioning,proxy_macro_f1,1733,0.3684359181269463,0.24194740253315566,-0.12640745774505083,-0.12934793395643518,-0.12346859866210563,,
